company_id,company_name,sector,pros,cons,pros_count,cons_count,confidence_score
ABB,Abbott India Ltd,Industrials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,8,1,92
ADANIENSOL,Adani Energy Solutions Ltd,Energy,Healthy Operating Margin; Positive Free Cash Flow,Low Return on Equity; High Debt; Poor Asset Utilization; No Dividend,2,4,68
ADANIENT,Adani Enterprises Ltd,Industrials,Business has stable fundamentals,Low Return on Equity; Weak Profit Margin; Negative Free Cash Flow,1,3,61
ADANIGREEN,Adani Green Energy Ltd,Energy,Healthy Operating Margin,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow; No Dividend,1,5,65
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Positive Free Cash Flow,Poor Asset Utilization,4,1,72
ADANIPOWER,Adani Power Ltd,Energy,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Positive Free Cash Flow,No Dividend,5,1,77
AMBUJACEM,Ambuja Cements Ltd,Materials,Low Debt; Comfortable Interest Coverage,Negative Free Cash Flow,2,1,62
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,Weak Profit Margin,4,1,72
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,8,1,92
ATGL,Adani Total Gas Ltd,Energy,Healthy Operating Margin; Low Debt; Comfortable Interest Coverage,No major financial concerns,3,1,67
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,8,1,92
AXISBANK,Axis Bank Ltd,Financials,Strong Profit Margin; Healthy Operating Margin,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,2,4,68
BAJAJFINSV,Bajaj Finserv Ltd,Financials,High Return on Equity; Healthy Operating Margin,High Debt; Poor Asset Utilization; Negative Free Cash Flow,2,3,66
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,Poor Asset Utilization,6,1,82
BAJFINANCE,Bajaj Finance Ltd,Financials,Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage,High Debt; Poor Asset Utilization; Negative Free Cash Flow,3,3,71
BANKBARODA,Bank of Baroda,Financials,Strong Profit Margin; Healthy Operating Margin; Consistent Dividend Payout,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,3,4,73
BHARTIARTL,Bharti Airtel Ltd,Communication Services,Healthy Operating Margin; Positive Free Cash Flow; Consistent Dividend Payout,High Debt; Poor Asset Utilization,3,2,69
BEL,Bharat Electronics Ltd,Industrials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Efficient Asset Utilization; Consistent Dividend Payout,Negative Free Cash Flow,6,1,82
BHEL,"Bharat Heavy Electricals Limited
",Industrials,Low Debt; Consistent Dividend Payout,Low Return on Equity; Weak Profit Margin; Weak Operating Margin; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,2,6,72
BOSCHLTD,Bosch Ltd,Consumer Discretionary,High Return on Equity; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
BPCL,Bharat Petroleum Corporation Ltd,Energy,High Return on Equity; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
BRITANNIA,Britannia Industries Ltd,Consumer Staples,High Return on Equity; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
CANBK,Canara Bank,Financials,Positive Free Cash Flow,Weak Operating Margin; High Debt; Low Interest Coverage; Poor Asset Utilization,1,4,63
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage,High Debt; Poor Asset Utilization; Negative Free Cash Flow,3,3,71
CIPLA,"Cipla Ltd
",Healthcare,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,6,1,82
COALINDIA,Coal India Ltd,Materials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
DABUR,Dabur India Ltd,Consumer Staples,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,4,1,72
DIVISLAB,Divis Laboratories Ltd,Healthcare,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,6,1,82
DLF,DLF Ltd,Real Estate,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,Low Return on Equity; Poor Asset Utilization,6,2,84
DMART,Avenue Supermarts Ltd,Consumer Discretionary,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow,Weak Profit Margin; Weak Operating Margin; No Dividend,4,3,76
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,No major financial concerns,5,1,77
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
GAIL,GAIL (India) Ltd,Energy,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Healthy Operating Margin; Low Debt,Low Return on Equity; Weak Profit Margin; Negative Free Cash Flow,2,3,66
GRASIM,Grasim Industries Ltd,Industrials,Healthy Operating Margin,Poor Asset Utilization; Negative Free Cash Flow,1,2,59
HAL,Hindustan Aeronautics Ltd,Industrials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
HAVELLS,Havells India Ltd,Industrials,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
HCLTECH,HCL Technologies Ltd,Information Technology,High Return on Equity; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
HDFCBANK,HDFC Bank Ltd,Financials,Strong Profit Margin; Positive Free Cash Flow; Consistent Dividend Payout,Weak Operating Margin; High Debt; Low Interest Coverage; Poor Asset Utilization,3,4,73
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Consistent Dividend Payout,Weak Profit Margin; Poor Asset Utilization; Negative Free Cash Flow,4,3,76
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,High Return on Equity; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
HINDALCO,Hindalco Industries Ltd,Materials,Healthy Operating Margin; Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity; Weak Profit Margin,3,2,69
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
ICICIBANK,ICICI Bank Ltd,Financials,Strong Profit Margin; Positive Free Cash Flow,Weak Operating Margin; High Debt; Low Interest Coverage; Poor Asset Utilization,2,4,68
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,Poor Asset Utilization,5,1,77
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity; Weak Profit Margin; Weak Operating Margin; Poor Asset Utilization,3,4,73
INDUSINDBK,IndusInd Bank Ltd,Financials,Strong Profit Margin; Healthy Operating Margin,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,2,4,68
INFY,Infosys Ltd,Information Technology,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow,No major financial concerns,7,1,87
IOC,"Indian Oil Corporation
",Energy,High Return on Equity; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
IRFC,Indian Railway Finance Corporation Ltd,Financials,Strong Profit Margin; Healthy Operating Margin; Positive Free Cash Flow; Consistent Dividend Payout,High Debt; Low Interest Coverage; Poor Asset Utilization,4,3,76
ITC,"ITC Ltd
",Consumer Staples,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
JINDALSTEL,Jindal Steel & Power Ltd,Materials,Healthy Operating Margin; Low Debt; Comfortable Interest Coverage,Negative Free Cash Flow,3,1,67
JIOFIN,Jio Financial Services Ltd,Financials,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity; Poor Asset Utilization; No Dividend,5,3,81
JSWENERGY,JSW Energy Ltd,Energy,Strong Profit Margin; Healthy Operating Margin,Low Return on Equity; Poor Asset Utilization; Negative Free Cash Flow,2,3,66
JSWSTEEL,JSW Steel Ltd,Materials,Consistent Dividend Payout,Negative Free Cash Flow,1,1,57
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,Strong Profit Margin; Positive Free Cash Flow,Weak Operating Margin; High Debt; Low Interest Coverage; Poor Asset Utilization,2,4,68
LICI,Life Insurance Corporation of India,Financials,High Return on Equity; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,Weak Profit Margin; Weak Operating Margin; Poor Asset Utilization,4,3,76
LODHA,Macrotech Developers Ltd,Real Estate,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage,Low Return on Equity; Poor Asset Utilization; Negative Free Cash Flow,4,3,76
LT,Larsen & Toubro Ltd,Industrials,High Return on Equity; Low Debt; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
LTIM,LTIMindtree Ltd,Information Technology,High Return on Equity; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,6,1,82
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Consistent Dividend Payout,Negative Free Cash Flow,1,1,57
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,Weak Profit Margin; Weak Operating Margin,4,2,74
NAUKRI,Info Edge (India) Ltd,Communication Services,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Consistent Dividend Payout,Low Return on Equity; Poor Asset Utilization; Negative Free Cash Flow,5,3,81
NESTLEIND,Nestle India Ltd,Consumer Staples,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,8,1,92
NHPC,"NHPC Ltd
",Energy,Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,Poor Asset Utilization,5,1,77
NTPC,NTPC Ltd,Energy,Healthy Operating Margin; Positive Free Cash Flow; Consistent Dividend Payout,Poor Asset Utilization,3,1,67
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,4,1,72
PFC,Power Finance Corporation Ltd,Financials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Consistent Dividend Payout,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,4,4,78
PIDILITIND,Pidilite Industries Ltd,Materials,High Return on Equity; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,7,1,87
PNB,Punjab National Bank,Financials,High Return on Equity; Efficient Asset Utilization,High Debt; Negative Free Cash Flow,2,2,64
POWERGRID,Power Grid Corporation of India Ltd,Energy,Strong Profit Margin; Healthy Operating Margin; Positive Free Cash Flow; Consistent Dividend Payout,Poor Asset Utilization,4,1,72
RECLTD,REC Ltd,Financials,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Consistent Dividend Payout,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,4,4,78
RELIANCE,"Reliance Industries Ltd
",Energy,Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity,2,1,62
SBILIFE,SBI Life Insurance Company Ltd,Financials,Low Debt; Comfortable Interest Coverage,Weak Profit Margin; Weak Operating Margin; Poor Asset Utilization; Negative Free Cash Flow,2,4,68
SBIN,State Bank of India,Financials,Strong Profit Margin; Positive Free Cash Flow,Weak Operating Margin; Low Interest Coverage,2,2,64
SHREECEM,Shree Cement Ltd,Materials,Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity,4,1,72
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,Strong Profit Margin; Healthy Operating Margin; Consistent Dividend Payout,High Debt; Low Interest Coverage; Poor Asset Utilization; Negative Free Cash Flow,3,4,73
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,6,1,82
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,Low Return on Equity,4,1,72
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,High Return on Equity; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow,No major financial concerns,4,1,72
TATAPOWER,"Tata Power Company Ltd
",Energy,Positive Free Cash Flow,Poor Asset Utilization,1,1,57
TATASTEEL,"Tata Steel Ltd
",Materials,Positive Free Cash Flow,Low Return on Equity; Weak Profit Margin,1,2,59
TCS,Tata Consultancy Services Ltd,Information Technology,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,8,1,92
TECHM,Tech Mahindra Ltd,Information Technology,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,Low Return on Equity; Weak Profit Margin; Weak Operating Margin,5,3,81
TITAN,"Titan Company Ltd
",Consumer Discretionary,High Return on Equity; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,6,1,82
TRENT,Trent Ltd,Consumer Discretionary,High Return on Equity; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow,No major financial concerns,5,1,77
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,High Return on Equity; Consistent Dividend Payout,Weak Profit Margin; High Debt; Negative Free Cash Flow,2,3,66
ULTRACEMCO,,,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,4,1,72
UNIONBANK,,,Positive Free Cash Flow; Consistent Dividend Payout,Weak Operating Margin; High Debt; Low Interest Coverage; Poor Asset Utilization,2,4,68
UNITDSPR,,,Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow; Consistent Dividend Payout,No major financial concerns,5,1,77
VEDL,,,High Return on Equity; Healthy Operating Margin; Positive Free Cash Flow; Consistent Dividend Payout,High Debt,4,1,72
WIPRO,,,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,No major financial concerns,3,1,67
ZOMATO,,,Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,Low Return on Equity; Weak Profit Margin; Weak Operating Margin; No Dividend,3,4,73
ZYDUSLIFE,,,High Return on Equity; Strong Profit Margin; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Positive Free Cash Flow,No major financial concerns,6,1,82
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,High Return on Equity; Healthy Operating Margin; Low Debt; Comfortable Interest Coverage; Efficient Asset Utilization; Positive Free Cash Flow,No Dividend,6,1,82
